word,count,accuracy
tela,1,0.0
cornice,2,0.0
infatti,3,0.0
pazza,1,0.0
sudato,3,0.0
verso,1,0.0
cinque,1,0.0
soltanto,1,0.0
programmarlo,1,0.0
l'hanno,6,0.0
frittata,7,0.0
tv,1,0.0
l'abbiamo,3,0.0
l'ha,5,0.0
camion,1,0.0
collegata,1,0.0
intera,1,0.0
riempire,2,0.0
frigo,1,0.0
seguire,2,0.0
enne,1,0.0
tumoretto,1,0.0
"mattina,",1,0.0
"lavoro,",1,0.0
luca.,1,0.0
l'altra,13,0.0
l'ho,28,0.0
buon'idea,1,0.0
bagnati,1,0.0
l'altro,3,0.0
c'è,33,0.0
brava,1,0.0
bravissima,1,0.0
l'allergia,1,0.0
demotivati,1,0.0
secca,1,0.0
diventa,1,0.0
assegnati,1,0.0
dati,1,0.0
vederlo,1,0.0
capdanno,1,0.0
e',12,0.0
trasferimento,1,0.0
un'attaccatura,1,0.0
eh,6,0.0
n'è,3,0.0
cartoni,3,0.0
cominciando,1,0.0
affitta,1,0.0
vi,3,0.0
dopodiché,4,0.0
poteva,1,0.0
perchè,5,0.0
l'hai,8,0.0
t'ho,3,0.0
"ginocchio,",1,0.0
l'ultimo,5,0.0
n'e,1,0.0
po',13,0.0
giovedi,2,0.0
l'albero,3,0.0
"giulietta,",1,0.0
"si,",1,0.0
arrivo,1,0.0
nell'altra,1,0.0
"sì,",3,0.0
dodici,1,0.0
"ehi,",3,0.0
"luca,",8,0.0
contratto,3,0.0
stati,2,0.0
pupetti,2,0.0
richiamo,1,0.0
gabriele?,1,0.0
costa,1,0.0
riescono,1,0.0
disponibile?,1,0.0
"chiamarti,",1,0.0
letto?,1,0.0
"letto,",2,0.0
appiccicare,1,0.0
entrati,1,0.0
ufficio,2,0.0
all'ufficio,1,0.0
"no,",3,0.0
andarci,1,0.0
entra,1,0.0
"sei,",2,0.0
c'era,5,0.0
starai,7,0.0
c'e,2,0.0
"casa,",1,0.0
quest'ora,8,0.0
un'altra,10,0.0
piu,2,0.0
andra',1,0.0
buongiorno!,1,0.0
farsi,2,0.0
mettette,1,0.0
sfilata,4,0.0
rimasto,2,0.0
"io,",2,0.0
svegliare,1,0.0
costo,1,0.0
l'armadio,1,0.0
sì,2,0.0
pero,2,0.0
coricarci,1,0.0
l'età,1,0.0
all'altra,1,0.0
quasi,1,0.0
muri,1,0.0
l',1,0.0
sveglierai,1,0.0
rincoglionita,1,0.0
dall'anestesia,1,0.0
un'ottima,1,0.0
trasparenti,1,0.0
com'è,6,0.0
"oggi,",1,0.0
diegolino,1,0.0
all'una,2,0.0
vicenza,1,0.0
l'autobus,2,0.0
"mio,",4,0.0
l'idea,1,0.0
mezz'oretta,2,0.0
vabbè,1,0.0
"c'è,",1,0.0
"papà,",1,0.0
pantaloncini,1,0.0
l'attività,1,0.0
specie,1,0.0
curva,2,0.0
l'è,1,0.0
riporti,1,0.0
"mia,",1,0.0
famiglia.,1,0.0
faro,1,0.0
mangia,1,0.0
compriamo,2,0.0
l'attrezzatura,3,0.0
aggiornata,1,0.0
mandata,1,0.0
tu?,1,0.0
dispiace,1,0.0
sposti,1,0.0
puzzle,1,0.0
"questo,",1,0.0
rifare,1,0.0
telefonarti,1,0.0
soprattutto,2,0.0
vasteddù,1,0.0
l'immagine,4,0.0
blu,1,0.0
l'attaccatura,1,0.0
l'università,1,0.0
lasciare,1,0.0
l'ufficio,1,0.0
piene,1,0.0
l'aereo,2,0.0
l'appuntamento,2,0.0
tipo,1,0.0
tranquillizare,2,0.0
cosi',1,0.0
reincomincio,1,0.0
tovaglioli,1,0.0
dello,1,0.0
tettoia,1,0.0
condisce,1,0.0
prosciutto,2,0.0
d'accordo,2,0.0
bagnate,1,0.0
l'ora,1,0.0
prego,1,0.0
all'asilo,1,0.0
riunioni,1,0.0
aiuterò,1,0.0
giustamente,1,0.0
cervello,1,0.0
andata?,1,0.0
tradotto,1,0.0
addormentato,1,0.0
diventi,1,0.0
all'attaccatura,1,0.0
scherzando,1,0.0
"eh,",1,0.0
pipi,2,0.0
dov'è,1,0.0
farai,1,0.0
curetta,1,0.0
lavo,1,0.0
qual'è,1,0.0
stamattina?,1,0.0
dall'età,3,0.0
sara,1,0.0
all'orecchio,1,0.0
veniva,1,0.0
asciugare,2,0.0
divise,1,0.0
dollari,1,0.0
portava,1,0.0
dall'estetista,2,0.0
cuccioletti,1,0.0
tranquillizza,1,0.0
contenti,1,0.0
puntuale,1,0.0
"indovinato,",1,0.0
soprannome,2,0.0
dell'armadio,1,0.0
"pippo,",2,0.0
dipingevano,1,0.0
"buongiorno,",1,0.0
renderlo,1,0.0
mangiata,1,0.0
quale,3,0.0
completo,1,0.0
vive,1,0.0
all'inizio,1,0.0
macchietta,1,0.0
"messaggi,",1,0.0
meetings,1,0.0
"ok,",1,0.0
"cucciolo,",1,0.0
seccata,1,0.0
formano,1,0.0
squillato,1,0.0
anch'io,1,0.0
"fisica,",1,0.0
innervato,1,0.0
l'impegno,1,0.0
"umano,",1,0.0
caricare,1,0.0
maschietto,1,0.0
gita,2,0.0
libero,2,0.0
svegli,1,0.0
"presto,",1,0.0
anziché,1,0.0
pensavo,1,0.0
l'avevi,1,0.0
fatemi,1,0.0
posizionare,1,0.0
legno,1,0.0
formissima,1,0.0
in'altra,1,0.0
sappiamo,1,0.0
dopodomani,1,0.0
m'è,1,0.0
andati?,2,0.0
perdendo,1,0.0
pazienza,1,0.0
all'altro,1,0.0
coniglietto,1,0.0
